Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
10483,Hungary,Wheat,2010,37038,589.0,10299.5,10.35
14192,India,Wheat,2011,29886,1083.0,55540.0,25.16
7294,Dominican Republic,Sweet potatoes,2002,60518,1410.0,4018.07,27.08
22755,Pakistan,Sweet potatoes,2007,114454,494.0,5935.96,25.16
18972,Mauritius,Potatoes,2013,236026,2041.0,671.77,24.31
5549,Cameroon,Maize,2011,20240,1604.0,1372.47,25.25
3794,Brazil,Soybeans,2002,25739,1761.0,145552.0,25.18
23900,Romania,Maize,2007,17030,637.0,6314.0,12.99
2332,Bangladesh,Wheat,2010,23959,2666.0,13283.72,26.65
1261,Australia,Sweet potatoes,2000,317647,534.0,33475.0,14.32
8892,Germany,Maize,1990,67762,700.0,31289.0,10.08
16383,Japan,Wheat,1994,37182,1668.0,79821.18,16.41
27118,Turkey,Wheat,2012,26723,593.0,42610.59,14.97
28239,Zimbabwe,Soybeans,2013,13142,657.0,2550.07,19.76
25387,Spain,Wheat,1998,28424,636.0,35070.0,17.46
26498,Tunisia,Potatoes,2005,123604,207.0,584.49,19.12
27093,Turkey,Maize,2012,73884,593.0,42610.59,14.97
668,Argentina,Maize,2009,55760,591.0,61586.56,18.09
22165,Pakistan,"Rice, paddy",1997,28048,494.0,16936.0,26.29
16867,Japan,"Rice, paddy",2007,65111,1668.0,61164.07,16.53
7359,Dominican Republic,Sweet potatoes,2007,75696,1410.0,5689.8,27.12
16467,Japan,Wheat,1996,30164,1668.0,79821.18,15.32
13664,India,Wheat,2008,28022,1083.0,14485.33,25.23
13710,India,Maize,2009,20238,1083.0,28707.01,25.38
18347,Malawi,Soybeans,2005,5797,1181.0,295.51,21.37
812,Australia,Maize,1990,41821,534.0,17866.0,18.05
8676,Estonia,Wheat,1997,21850,626.0,200.0,5.95
13925,India,"Rice, paddy",2010,33587,1083.0,40093.69,26.93
25454,Spain,Potatoes,2002,279460,636.0,40727.0,17.16
26789,Turkey,"Rice, paddy",2000,60492,593.0,33471.0,17.97
2101,Bangladesh,Sorghum,1991,8376,2666.0,1287.0,25.85
23434,Peru,Sorghum,2004,28286,1738.0,8941.22,17.29
7579,Ecuador,"Rice, paddy",1994,37385,2274.0,2670.0,17.4
3211,Brazil,Sweet potatoes,1996,86415,1761.0,101621.67,24.28
15171,Indonesia,Maize,2008,40776,2702.0,1597.0,27.18
27522,United Kingdom,Wheat,1993,73282,1220.0,32387.0,9.69
26674,Turkey,Wheat,1995,19315,593.0,27328.0,17.64
13316,India,Wheat,2006,26188,1083.0,37423.0,27.15
7318,Dominican Republic,Plantains and others,2005,104137,1410.0,3515.56,27.03
1247,Australia,Sorghum,2000,34003,534.0,33475.0,19.89
22270,Pakistan,Maize,1999,17169,494.0,20450.0,23.8
6836,Colombia,"Rice, paddy",2008,48887,3240.0,48538.97,22.07
8969,Germany,Soybeans,1996,20000,700.0,31683.0,7.88
17235,Kazakhstan,Potatoes,1999,107532,250.0,4720.28,7.09
3387,Brazil,Sorghum,1998,17768,1761.0,118930.56,24.78
4069,Brazil,"Rice, paddy",2006,38798,1761.0,238716.0,24.57
5635,Canada,Potatoes,1992,118173,537.0,29387.0,3.69
7578,Ecuador,"Rice, paddy",1994,37385,2274.0,2670.0,21.46
11178,India,Sweet potatoes,1993,85962,1083.0,66388.0,25.06
21906,Pakistan,Potatoes,1993,122809,494.0,4945.0,26.51
23282,Papua New Guinea,Sweet potatoes,2009,49583,3142.0,105.0,25.08
11550,India,Wheat,1995,25590,1083.0,61257.0,25.92
25901,Suriname,Maize,1991,22289,2331.0,207.0,26.93
457,Argentina,Cassava,1995,100000,591.0,37842.0,17.74
5202,Burundi,Wheat,1996,7728,1274.0,207.1,21.18
10182,Honduras,Sweet potatoes,1992,64667,1976.0,9904.59,24.77
3532,Brazil,Cassava,2000,134815,1761.0,140423.0,21.69
12887,India,Sorghum,2004,7161,1083.0,35113.0,25.98
27380,Ukraine,Wheat,1995,29699,565.0,51986.39,8.26
22458,Pakistan,Maize,2002,18448,494.0,10881.83,25.61
6534,Colombia,Soybeans,1990,19986,3240.0,18058.29,22.4
19409,Mexico,Sweet potatoes,1996,185891,758.0,34468.93,25.06
2334,Bangladesh,Maize,2011,61512,2666.0,14798.28,25.8
14886,Indonesia,Potatoes,1999,147199,2702.0,1597.0,25.26
14335,India,Sweet potatoes,2012,97174,1083.0,52980.0,25.82
25870,Sudan,"Rice, paddy",2012,31746,1712.0,2469.47,26.42
21766,Pakistan,Maize,1991,14235,494.0,5962.0,22.48
23761,Qatar,Wheat,1998,22951,74.0,37.0,28.48
15550,Iraq,"Rice, paddy",2005,28879,216.0,873.01,23.58
27243,Uganda,Potatoes,2000,70294,1180.0,88.0,23.75
19809,Mexico,Cassava,2004,141677,758.0,26433.14,24.92
10982,India,Soybeans,1992,8947,1083.0,70791.0,24.62
11636,India,"Rice, paddy",1996,28226,1083.0,56114.0,23.81
13940,India,Sorghum,2010,8602,1083.0,40093.69,26.52
7178,Dominican Republic,"Rice, paddy",1995,47722,1410.0,3449.0,26.82
20137,Mexico,Maize,2009,32368,758.0,61690.08,25.72
14078,India,Potatoes,2011,227240,1083.0,55540.0,24.35
17321,Kazakhstan,"Rice, paddy",2007,33678,250.0,5575.89,7.78
18954,Mauritius,Sweet potatoes,2009,123377,2041.0,749.41,24.58
1012,Australia,Wheat,1994,11356,534.0,21057.0,16.43
21071,Nepal,Maize,1997,16585,1500.0,80.75,14.5
13984,India,Sweet potatoes,2010,92069,1083.0,40093.69,26.52
14237,India,Maize,2012,25557,1083.0,52980.0,26.65
25417,Spain,"Rice, paddy",2000,70661,636.0,34597.0,17.47
14417,India,Maize,2013,25726,1083.0,45620.0,26.99
15755,Italy,Wheat,1993,35533,832.0,89282.2,12.71
3620,Brazil,Yams,2000,91522,1761.0,140423.0,21.69
18695,Mali,Cassava,2012,156860,282.0,1.52,27.39
8650,Eritrea,Potatoes,2010,15729,383.0,27.63,25.22
20627,Morocco,Potatoes,2001,187740,346.0,13842.57,18.73
20841,Mozambique,Wheat,1996,11268,1032.0,65.85,21.53
20537,Morocco,Sweet potatoes,1994,154663,346.0,10992.57,17.88
5763,Canada,Soybeans,1997,25837,537.0,38258.2,8.23
18704,Mali,Cassava,2013,155621,282.0,1.52,28.53
22727,Pakistan,Potatoes,2007,193516,494.0,5935.96,23.33
19792,Mexico,Sweet potatoes,2002,184236,758.0,16189.88,21.5
10505,India,Cassava,1990,205381,1083.0,75000.0,24.1
21761,Pakistan,Wheat,1990,18249,494.0,5299.0,24.81
17527,Kenya,Soybeans,2002,8611,630.0,1578.0,16.61
7247,Dominican Republic,Sweet potatoes,1999,61874,1410.0,5398.0,26.62
13729,India,Potatoes,2009,188103,1083.0,28707.01,26.31
16265,Japan,Yams,1991,192204,1668.0,79821.18,15.49
1944,Azerbaijan,"Rice, paddy",2006,42375,447.0,148.68,12.66
18359,Malawi,Plantains and others,2007,94286,1181.0,524.46,20.67
7571,Ecuador,Maize,1994,11208,2274.0,2670.0,21.8
2002,Bahamas,Maize,1997,17400,1292.0,484.59,25.81
18402,Malawi,Sorghum,2012,8335,1181.0,775.83,20.42
21945,Pakistan,Wheat,1993,19466,494.0,4945.0,25.04
26459,Tunisia,Potatoes,1991,129412,207.0,909.0,18.41
18575,Mali,Sweet potatoes,1997,53333,282.0,24.28,27.38
27449,Ukraine,"Rice, paddy",2008,50859,565.0,54080.5,9.24
416,Argentina,"Rice, paddy",1992,52075,591.0,26156.0,17.51
651,Argentina,Maize,2008,64525,591.0,87149.01,17.71
24534,Slovenia,Wheat,2008,45265,1162.0,1218.15,11.09
7706,Ecuador,Maize,1999,11813,2274.0,14216.0,21.43
14378,India,Cassava,2013,349594,1083.0,45620.0,26.61
21230,New Zealand,Sweet potatoes,1992,237745,1732.0,3490.0,12.14
18285,Malawi,Maize,1996,14433,1181.0,173.19,20.47
6944,Croatia,Wheat,1993,41867,1113.0,2675.33,10.19
12169,India,"Rice, paddy",1999,29782,1083.0,46195.0,26.85
13916,India,"Rice, paddy",2010,33587,1083.0,40093.69,25.71
7976,Ecuador,Maize,2010,22348,2274.0,31637.12,22.3
18824,Mauritania,Yams,2006,62222,92.0,1.7,27.82
701,Argentina,Potatoes,2011,286657,591.0,100424.62,17.58
10468,Hungary,"Rice, paddy",2008,39404,589.0,12084.0,11.55
24836,South Africa,Maize,2000,28492,495.0,26857.0,15.13
7647,Ecuador,Cassava,1997,37578,2274.0,7612.0,22.88
10710,India,Maize,1991,13763,1083.0,72133.0,25.99
22166,Pakistan,"Rice, paddy",1997,28048,494.0,16936.0,23.76
27914,Zambia,Cassava,1995,61268,1020.0,716.0,21.86
11327,India,Soybeans,1994,9106,1083.0,61357.0,25.33
11096,India,"Rice, paddy",1993,28303,1083.0,66388.0,25.88
24344,Senegal,Sweet potatoes,1991,50951,686.0,384.0,25.0
15808,Italy,Sweet potatoes,1997,199328,832.0,84799.0,8.18
21535,Niger,Sweet potatoes,1995,107884,151.0,62.0,29.56
6619,Colombia,"Rice, paddy",1995,42840,3240.0,20156.23,27.3
9607,Guatemala,Sweet potatoes,2005,64706,1996.0,13506.02,19.99
22710,Pakistan,Maize,2007,34265,494.0,5935.96,25.16
16545,Japan,Sweet potatoes,1998,249781,1668.0,79821.18,16.74
26337,Thailand,Cassava,1996,141581,1622.0,21901.0,27.37
7403,Dominican Republic,"Rice, paddy",2010,47651,1410.0,6316.61,27.01
17084,Japan,Soybeans,2012,17994,1668.0,54716.4,13.11
24418,Senegal,Maize,2005,27961,686.0,465.95,25.78
14801,Indonesia,Sweet potatoes,1996,113547,2702.0,1597.0,27.53
24451,Senegal,Sorghum,2010,9331,686.0,695.86,26.1
17349,Kazakhstan,Soybeans,2009,18002,250.0,8716.14,6.77
14224,India,Maize,2012,25557,1083.0,52980.0,26.04
335,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27
22030,Pakistan,Potatoes,1995,139418,494.0,7681.0,26.63
8364,Egypt,"Rice, paddy",2011,95670,51.0,12945.0,21.99
2374,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
14840,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.72
25464,Spain,Soybeans,2002,26667,636.0,40727.0,12.52
25145,South Africa,Maize,2012,44905,495.0,26857.0,19.14
26520,Tunisia,Sorghum,2012,5106,207.0,422.24,20.12
11125,India,Sorghum,1993,8981,1083.0,66388.0,26.34
10455,Hungary,Potatoes,2006,249942,589.0,11523.0,10.67
11416,India,Maize,1995,15946,1083.0,61257.0,24.04
13022,India,Potatoes,2005,188908,1083.0,35342.0,24.12
10890,India,Maize,1992,16758,1083.0,70791.0,25.52
4245,Brazil,Maize,2008,40800,1761.0,312637.0,24.26
3910,Brazil,Wheat,2004,20728,1761.0,214725.0,27.72
3705,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,26.08
1224,Australia,Wheat,1999,20066,534.0,34200.0,12.1
14403,India,Maize,2013,25726,1083.0,45620.0,27.37
12299,India,Maize,2000,18216,1083.0,44957.52,25.58
638,Argentina,Potatoes,2007,286765,591.0,81582.64,17.14
4704,Brazil,Wheat,2012,23100,1761.0,346583.0,27.34
9500,Guatemala,Wheat,1992,20000,1996.0,12004.33,19.89
19700,Mexico,Potatoes,2001,237799,758.0,31373.3,19.32
11642,India,"Rice, paddy",1996,28226,1083.0,56114.0,24.78
27596,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,8.15
2687,Brazil,Sorghum,1991,14834,1761.0,58349.44,17.95
15095,Indonesia,Cassava,2006,162829,2702.0,1597.0,27.55
23860,Romania,"Rice, paddy",1999,24427,637.0,11280.0,12.34
5130,Burkina Faso,Soybeans,2012,10949,748.0,843.0,28.67
16902,Japan,Maize,2008,25456,1668.0,58750.0,13.31
9849,Guinea,Sorghum,2013,9592,1651.0,877.19,27.29
25720,Sri Lanka,Soybeans,1994,10167,1712.0,1860.7,26.34
4821,Bulgaria,"Rice, paddy",1990,23785,608.0,3906.0,9.51
24292,Saudi Arabia,Wheat,2008,60877,59.0,4372.61,26.21
10316,Honduras,Soybeans,2008,20598,1976.0,5130.42,24.25
3984,Brazil,Soybeans,2005,22303,1761.0,232232.0,20.78
4265,Brazil,"Rice, paddy",2008,42311,1761.0,312637.0,18.8
20096,Mexico,Sorghum,2008,35965,758.0,61732.11,21.02
3381,Brazil,Sorghum,1998,17768,1761.0,118930.56,18.2
6334,Chile,Potatoes,1994,153807,1522.0,15373.0,6.7
17399,Kazakhstan,Wheat,2013,10762,250.0,8738.38,8.71
23222,Papua New Guinea,Maize,2000,55385,3142.0,105.0,25.4
3634,Brazil,Cassava,2001,135418,1761.0,151523.0,18.67
26131,Switzerland,Potatoes,2004,394976,1537.0,1390.7,7.67
15277,Indonesia,Maize,2011,45652,2702.0,1597.0,27.24
14712,Indonesia,"Rice, paddy",1994,43453,2702.0,1597.0,25.21
3522,Brazil,Yams,1999,92000,1761.0,127585.0,20.04
8344,Egypt,Wheat,2009,63829,51.0,9013.0,22.63
18561,Mali,Maize,1996,15845,282.0,26.51,27.64
14990,Indonesia,Maize,2002,30655,2702.0,1597.0,27.5
7024,Croatia,Wheat,2010,40415,1113.0,1540.0,10.0
19636,Mexico,Potatoes,2000,239420,758.0,34468.93,19.29
2616,Brazil,Sweet potatoes,1990,101661,1761.0,49695.0,25.76
21656,Norway,Potatoes,1990,257507,1414.0,1183.0,4.55
3287,Brazil,Sorghum,1997,19757,1761.0,110276.11,25.96
2638,Brazil,Yams,1990,91489,1761.0,49695.0,25.76
10091,Haiti,Potatoes,2005,130000,1440.0,27.85,27.35
16903,Japan,Potatoes,2008,323086,1668.0,58750.0,15.96
2323,Bangladesh,Potatoes,2010,182299,2666.0,13283.72,26.65
14952,Indonesia,Maize,2001,28446,2702.0,1597.0,25.43
4692,Brazil,Sweet potatoes,2012,121926,1761.0,346583.0,21.02
16689,Japan,Maize,2002,24615,1668.0,70262.54,16.0
24912,South Africa,Sweet potatoes,2002,34918,495.0,26857.0,15.88
25811,Sri Lanka,Maize,2007,16508,1712.0,1439.8,26.57
12119,India,Maize,1999,17922,1083.0,46195.0,25.78
13177,India,Maize,2006,19125,1083.0,37423.0,26.37
1891,Azerbaijan,Sorghum,1995,1317,447.0,148.68,12.81
22587,Pakistan,Maize,2005,29843,494.0,7914.31,22.8
20697,Morocco,Potatoes,2007,247975,346.0,13697.0,17.93
17738,Lebanon,Potatoes,2007,256020,661.0,1816.0,20.04
25856,Sri Lanka,Soybeans,2012,10987,1712.0,1112.8,26.88
3422,Brazil,Yams,1998,91823,1761.0,118930.56,22.35
16996,Japan,"Rice, paddy",2010,65135,1668.0,55576.0,15.8
15068,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.48
22557,Pakistan,Soybeans,2004,12450,494.0,8903.48,25.55
2879,Brazil,"Rice, paddy",1993,22912,1761.0,75658.33,18.69
21215,Netherlands,Potatoes,2012,451734,778.0,11348.39,10.08
20870,Mozambique,Cassava,2001,71627,1032.0,26.05,21.94
18798,Mauritania,Potatoes,2002,51282,92.0,3.2,27.84
21934,Pakistan,Soybeans,1993,5681,494.0,4945.0,18.91
